userName,score,at,content
Pe***********le,5,2025-02-27 20:08:59,Terimakasih sangatlah mudah cepat dan akurat ✍️🍻💌
Pe***********le,1,2024-01-11 03:37:14,Mw login susah bner udah kirim SMS berkali kali gagal pulsa banyak ke sedot
Pe***********le,5,2025-11-26 00:17:35,ok
Pe***********le,1,2024-04-21 15:53:50,"Parah pulsa abis notifikasi sms ga ada balesan msh gampang pake apk lain,, Apk yg lain tdk perlu pke pulsa daftar lebih simple,,"
Pe***********le,5,2025-07-16 00:36:22,super
Pe***********le,5,2025-01-28 15:37:38,"kenapa selalu di-update terus,tapi sangat bagus sistem aplikasi nya"
Pe***********le,5,2023-08-20 18:46:19,Okok.
Pe***********le,1,2025-07-25 06:03:39,update terus koplok
Pe***********le,5,2024-10-11 01:08:37,Mudah bertransaksi
Pe***********le,2,2022-03-12 20:47:34,App sulit untuk daftar idcard aja sulit kenapa harus email bukan Gmail
Pe***********le,5,2024-01-23 15:06:46,sep mantap
Pe***********le,1,2024-09-09 11:32:06,"Kenapa saya beruang ulang meminta kode otp, nanti kalau sudah berhasil, memasukan id dan berulang ulang lagi,"
Pe***********le,5,2024-08-22 08:03:25,Good
Pe***********le,1,2023-11-17 15:02:00,Lambat
Pe***********le,4,2024-07-27 12:45:10,"Ini layanan finansialnya kok gak bisa dipakai,seperti isi token"
Pe***********le,1,2025-08-05 07:05:44,keamanan sama aja kaya mbanking lainnya login doang ribetnya minta ampun.Verifikasi lewat email atau whatsapp juga aman ini kekeh harus pake pulsa mana login gagal pulsa juga abis!kecewa
Pe***********le,2,2025-01-28 19:18:43,ini gimana kode negara Indonesia kok ga ada?
Pe***********le,2,2025-03-07 16:51:59,Kenapa mybca tidak bisa login...
Pe***********le,1,2024-03-22 01:51:47,"Tolong lah BCA, sampean udah perusahaan raksasa jangan lagi konfirmasi login pake SMS, buang2 pulsa semua orang aja. Integrasikan ke Whatsapp, jaman udah canggih jangan malah terus membebankan para nasabah!"
Pe***********le,5,2024-04-30 23:27:49,👍
Pe***********le,1,2024-04-22 02:53:31,"Mau ambil foto dari depan susahnya minta ampun, sampai sekarang gak pernah bisa"
Pe***********le,1,2023-01-31 15:11:06,"hahah aplikasi gajelas, udh lama make bca mobile dan baru mau download mybca ini krna kepo sm pengeluarannya uang yg udah lebih dr 30hr ehh malah gabisa sm sekali, katanya KTP Elektronik dan wajah berbeda, KECEWA OIII!!!!!!!!!!"
Pe***********le,1,2025-10-30 02:18:35,pelayanan buruk cs nya buruk
Pe***********le,1,2024-05-24 02:31:24,Berhasil daftar tapi ga bisa verivikasi wajah
Pe***********le,5,2025-11-06 17:19:03,mantap
Pe***********le,5,2024-03-29 16:19:39,Simpel
Pe***********le,1,2025-05-29 11:53:05,Update malah ga bisa masuk payah
Pe***********le,2,2025-01-01 07:04:30,"Tolong jangan setiap beberapa bulan update terus, saya udh 3x update Mulu, memonya hanya untuk aplikasi ini doang, kalo mau update setiap per tahun jngan beberapa bulan update Mulu kalo butuh buat TF dll bingung harus update lagi dan lagi"
Pe***********le,5,2024-02-21 12:39:41,Bagus
Pe***********le,5,2023-12-18 18:16:39,"Cukup membantu... dan mudah dalam prosesnya. Ada 2 rek. Lain cabang pun bisa. Transaksi digital mudah, Notif transaksi by email. Ada pemberitahuan untuk merubah password juga."
Pe***********le,1,2025-09-21 13:11:52,"suka nahan nahan haq org, saldo gue balikin woi, kerja Nye apa tuh tim terkait yg nanganin qris , assuuuuu"
Pe***********le,5,2024-10-03 17:01:28,OK
Pe***********le,5,2024-04-26 17:38:41,Ok
Pe***********le,5,2025-03-19 16:22:20,mantap BCA is the best
Pe***********le,5,2024-04-21 09:28:26,Super
Pe***********le,5,2021-06-02 15:23:53,"Mwntap ,tingkatkan terus"
Pe***********le,4,2021-10-11 10:48:44,sayang pindah perangkat masih belum bisa masih tahap pemeliharaan sistem
Pe***********le,5,2025-03-18 06:39:58,"Tolong bikin detail transaksi nya min, jam, tgl, id, bank tujannya"
Pe***********le,5,2026-01-20 03:58:10,sangat membantu
Pe***********le,1,2025-06-09 11:29:33,"mau bikin rekening online sulit , udah ikutin prosesnya tinggal vc sama petugas cs nya gda yg angkat dari tadi pagi sampe malem. pda tidur apa cs bca ini. kcp Kab subang."
Pe***********le,1,2026-01-29 03:40:02,"bca kan kaya ngapain telpon cs harus pakai pulsa, untuk bca yg sebesar ini tolong klo custamer ada kendala kalo bisa gak pakek pulsa klo telpon ke cs nya,masa baru beli pulsa sudah kesedot habis semua pulsa saya😠😡"
Pe***********le,1,2025-09-28 05:23:20,"Tolong bgt, masa harus cetakkkkkk kartu ATM dulu karna lupa no ATM. capek bgt ribet bgt asliiii. kita jauh dari cabang BCA. posisi ada uang masuk. tolong lah BCA"
Pe***********le,1,2025-05-28 02:22:06,nunggu video call cs lama banget
Pe***********le,1,2023-12-27 12:34:30,Saya pengguna my bca baru. Saya bingung Padahal sudah ada email konfirmasi id terlah aktiv Kenapa ketika membuka my bca Sudah memasukan id dan pasword yang benar Dialihkan ke laman sms Dan diminta aktivasi Padahal sebelumnya sudah melakukan itu dan dikonfirmasi aktivasi berhasil Pulsa 25 rb habis untuk kirim sms aktivasi terus namun gagal masuk ke my bca Padahal saya bisa masuk my bca lewat website nya Hmmmm
